filename,result
downloaded_images\ladymama_蒜味牛肉餐_150元_2.jpg,"根據圖片與檔案名稱「ladymama_蒜味牛肉餐_150元_2.jpg」的資訊，以下為餐點內容分析及熱量推估：

**餐點名稱：** 蒜味牛肉餐

**食物項目、估計份量與熱量推估（參考衛福部食品營養成分資料庫 TFND 標準）**

*   **主食：雜糧飯/黑米飯**
    *   **估計份量：** 約 180 公克 (濕重)
    *   **熱量推估：** 約 270 大卡 (以熟雜糧飯每100公克約150大卡計)
*   **主菜：蒜味牛肉片 (熟)**
    *   **估計份量：** 約 90 公克
    *   **熱量推估：** 約 198 大卡 (以熟牛肉片每100公克約220大卡計，已考慮部分烹調用油)
*   **配菜：水煮蛋 (半顆)**
    *   **估計份量：** 約 25 公克
    *   **熱量推估：** 約 39 大卡 (以熟雞蛋每100公克約155大卡計)
*   **配菜：高麗菜 (熟)**
    *   **估計份量：** 約 50 公克
    *   **熱量推估：** 約 13 大卡 (以熟高麗菜每100公克約25大卡計)
*   **配菜：蒸/烤南瓜塊**
    *   **估計份量：** 約 30 公克
    *   **熱量推估：** 約 12 大卡 (以熟南瓜每100公克約40大卡計)
*   **配菜：胡蘿蔔絲 (熟)**
    *   **估計份量：** 約 20 公克
    *   **熱量推估：** 約 7 大卡 (以熟胡蘿蔔每100公克約35大卡計)
*   **配菜：冬粉 (煮熟)**
    *   **估計份量：** 約 20 公克
    *   **熱量推估：** 約 16 大卡 (以煮熟冬粉每100公克約80大卡計)
*   **配菜：木耳 (熟)**
    *   **估計份量：** 約 20 公克
    *   **熱量推估：** 約 3 大卡 (以熟木耳每100公克約15大卡計)

**總熱量推估：約 558 大卡**

**備註：**
*   以上份量皆為目測估計，實際熱量可能因食材來源、烹調方式、調味料使用及份量差異而有所不同。
*   熱量推估為概算值，僅供參考。"
downloaded_images\ladymama_時蔬菜飯餐_120元_2.jpg,"根據圖片內容及檔案名「ladymama_時蔬菜飯餐」，以衛福部食品營養成分資料庫 (TFND) 標準，對餐點內容進行理性判斷、份量推估及熱量計算如下：

**餐點分析與熱量估計：**

1.  **紫米飯/糙米飯 (主食)：**
    *   **判斷：** 飯體呈深紫色，推估為紫米飯或混有糙米的飯。份量約飯碗八分滿。
    *   **份量推估：** 約180公克 (熟飯)。
    *   **TFND標準：** 紫米飯(熟) 或 黑糯米飯(煮熟) 100公克約139大卡。
    *   **熱量估計：** 180公克 * (139大卡/100公克) = 250.2 大卡 ≈ **250 大卡**。

2.  **蒸/燙南瓜：**
    *   **判斷：** 一片厚切的黃色南瓜塊，應為蒸煮或水煮。
    *   **份量推估：** 約80公克。
    *   **TFND標準：** 南瓜(煮熟) 100公克約68大卡。
    *   **熱量估計：** 80公克 * (68大卡/100公克) = 54.4 大卡 ≈ **54 大卡**。

3.  **滷蛋/水煮蛋 (半顆)：**
    *   **判斷：** 呈現咖啡色澤的半顆蛋，推估為滷蛋或茶葉蛋。
    *   **份量推估：** 約25公克 (中型蛋半顆)。
    *   **TFND標準：** 雞蛋(煮) 100公克約141大卡。
    *   **熱量估計：** 25公克 * (141大卡/100公克) = 35.25 大卡 ≈ **35 大卡**。

4.  **燙青江菜/綠色葉菜：**
    *   **判斷：** 新鮮綠色葉菜，經水燙或蒸煮。
    *   **份量推估：** 約60公克。
    *   **TFND標準：** 青江菜(煮熟) 100公克約19大卡。
    *   **熱量估計：** 60公克 * (19大卡/100公克) = 11.4 大卡 ≈ **11 大卡**。

5.  **涼拌豆芽菜與紅蘿蔔絲：**
    *   **判斷：** 呈現黃白色豆芽菜混雜少量橘色蘿蔔絲，應為涼拌或輕炒。
    *   **份量推估：** 約45公克。
    *   **TFND標準：** 黃豆芽菜(熟) 100公克約37大卡；紅蘿蔔(煮熟) 100公克約30大卡。綜合估算。
    *   **熱量估計：** 45公克 * (37大卡/100公克) ≈ **17 大卡**。

6.  **生蘋果切片：**
    *   **判斷：** 數片帶皮的紅色蘋果切片。
    *   **份量推估：** 約40公克。
    *   **TFND標準：** 蘋果(生鮮) 100公克約52大卡。
    *   **熱量估計：** 40公克 * (52大卡/100公克) = 20.8 大卡 ≈ **21 大卡**。

7.  **木耳或其他黑色菌菇：**
    *   **判斷：** 少量黑色、呈不規則狀的食材，推估為木耳。
    *   **份量推估：** 約10公克。
    *   **TFND標準：** 黑木耳(熟) 100公克約19大卡。
    *   **熱量估計：** 10公克 * (19大卡/100公克) = 1.9 大卡 ≈ **2 大卡**。

**總熱量估計：**
250 (紫米飯) + 54 (南瓜) + 35 (滷蛋) + 11 (青江菜) + 17 (豆芽菜) + 21 (蘋果) + 2 (木耳) = **約390 大卡**。

**備註：** 以上為基於圖片目測及衛福部數據的理性推估，實際熱量可能因食材品種、烹調方式 (如油量、調味) 及實際份量差異而有所不同。"
downloaded_images\ladymama_薄鹽松阪豬_150元_2.jpg,"這張圖片顯示一個外帶碗餐，內容物與其推估熱量分析如下（參考衛福部食品營養成分資料庫 TFND 標準）：

**食物組成與熱量估算：**

1.  **薄鹽松阪豬 (豬頸肉)：**
    *   **分量估計：** 約 6-7 片，目測約 90 克。
    *   **熱量估算：** 參考 TFND「豬肉_松阪豬(生)」(食品代碼 1230113)，每 100 克約 278 大卡。
    *   **推估熱量：** 90 克 × (278 大卡 / 100 克) ≈ **250 大卡**。

2.  **綜合穀物飯 / 紫米飯：**
    *   **分量估計：** 碗底鋪設，約 150 克 (熟飯)。
    *   **熱量估算：** 參考 TFND「紫米飯」(食品代碼 01007)，每 100 克約 188 大卡。
    *   **推估熱量：** 150 克 × (188 大卡 / 100 克) ≈ **282 大卡**。

3.  **水煮蛋：**
    *   **分量估計：** 半顆，約 28 克。
    *   **熱量估算：** 參考 TFND「雞蛋_水煮蛋」(食品代碼 03001)，每 100 克約 144 大卡。
    *   **推估熱量：** 28 克 × (144 大卡 / 100 克) ≈ **40 大卡**。

4.  **高麗菜 (或其他綠色葉菜)：**
    *   **分量估計：** 少量熟菜，約 50 克。
    *   **熱量估算：** 參考 TFND「高麗菜_炒」(食品代碼 07001)，每 100 克約 30 大卡 (若為水煮則更低)。
    *   **推估熱量：** 50 克 × (30 大卡 / 100 克) ≈ **15 大卡**。

5.  **蒸南瓜：**
    *   **分量估計：** 數小塊，約 30 克。
    *   **熱量估算：** 參考 TFND「南瓜_蒸」(食品代碼 05001)，每 100 克約 57 大卡。
    *   **推估熱量：** 30 克 × (57 大卡 / 100 克) ≈ **17 大卡**。

6.  **蘋果片：**
    *   **分量估計：** 少量切片，約 20 克。
    *   **熱量估算：** 參考 TFND「蘋果_生_帶皮」(食品代碼 05001)，每 100 克約 52 大卡。
    *   **推估熱量：** 20 克 × (52 大卡 / 100 克) ≈ **10 大卡**。

7.  **細麵 / 冬粉：**
    *   **分量估計：** 少量點綴，約 20 克 (熟)。
    *   **熱量估算：** 參考 TFND「冬粉(熟)」(食品代碼 01001)，每 100 克約 99 大卡。
    *   **推估熱量：** 20 克 × (99 大卡 / 100 克) ≈ **20 大卡**。

**總熱量估算：**
250 (豬) + 282 (飯) + 40 (蛋) + 15 (菜) + 17 (瓜) + 10 (果) + 20 (冬粉) = **約 634 大卡**。"
downloaded_images\ladymama_韓式拌飯豬_150元_2.jpg,"這是一份韓式拌飯，根據檔案名為「韓式拌飯豬」，內容包含以下主要食物成分與熱量估計（參考衛福部食品營養成分資料庫 TFND 標準）：

*   **白飯**：約 280 公克。
    *   推估熱量：約 512 大卡 (183 大卡/100g)。
*   **豬肉片**：目測約 90 公克（熟重，含烹調油脂）。
    *   推估熱量：約 252 大卡 (280 大卡/100g，考量拌炒及油脂)。
*   **青江菜/小白菜**：約 60 公克。
    *   推估熱量：約 9 大卡 (15 大卡/100g)。
*   **黃豆芽**：約 50 公克。
    *   推估熱量：約 18 大卡 (35 大卡/100g)。
*   **紅蘿蔔絲**：約 20 公克。
    *   推估熱量：約 8 大卡 (42 大卡/100g)。
*   **韓式泡菜**：約 40 公克。
    *   推估熱量：約 15 大卡 (38 大卡/100g)。
*   **滷蛋/醬油蛋**：1 顆 (約 60 公克)。
    *   推估熱量：約 85 大卡 (142 大卡/100g)。
*   **海苔絲**：少量，約 2 公克。
    *   推估熱量：約 2 大卡。
*   **韓式辣醬（或拌飯醬）**：未顯示但為拌飯必需，預估約 20 公克。
    *   推估熱量：約 36 大卡 (180 大卡/100g)。

**總計推估熱量：約 937 大卡。**"
downloaded_images\ladymama_香料雞胸餐_140元_2.jpg,"依據圖片與檔案名「ladymama_香料雞胸餐」判斷，餐點內容分析及熱量推估如下：

**餐點內容與熱量推估：**

*   **主食：紫米飯**
    *   **分量推估：** 約150克（以標準餐碗份量推估）
    *   **熱量推估（衛福部TFND標準）：** 紫米飯每100克約140大卡。
    *   **總熱量：** 140大卡/100克 * 1.5 = 約210大卡。

*   **主菜：香料雞胸肉**
    *   **分量推估：** 約130克（數塊，符合一份主菜份量）
    *   **熱量推估（衛福部TFND標準）：** 雞胸肉（煮熟）每100克約165大卡。
    *   **總熱量：** 165大卡/100克 * 1.3 = 約214.5大卡。

*   **配菜：水煮蛋**
    *   **分量推估：** 半顆（約25克）
    *   **熱量推估（衛福部TFND標準）：** 雞蛋（熟）每100克約155大卡。
    *   **總熱量：** 155大卡/100克 * 0.25 = 約38.75大卡。

*   **配菜：綜合蔬菜**
    *   **分量推估：** 總計約100克（包含高麗菜、紅蘿蔔絲、紅高麗菜、少量黃色根莖類如地瓜或南瓜）
    *   **熱量推估（衛福部TFND標準）：** 各類蔬菜熱量較低，平均每100克約20-40大卡。
    *   **總熱量：** 約30大卡（保守估計）。

**總熱量推估：**
210（紫米飯）+ 214.5（雞胸肉）+ 38.75（水煮蛋）+ 30（綜合蔬菜）= **約493.25大卡**。"
downloaded_images\ladymama_韓式拌飯牛_150元_2.jpg,"根據圖片與檔案名「ladymama_韓式拌飯牛_150元_2.jpg」的資訊，這是一份韓式拌飯，主食為米飯，搭配牛肉及多種配菜。以下為各項食物的推估分量與熱量分析，參考衛福部食品營養成分資料庫 (TFND) 標準。

1.  **白飯 (Cooked White Rice):**
    *   **分量推估:** 考量一般外帶餐點碗的容量，約 180 公克。
    *   **熱量推估 (TFND F000101 白飯):** 183 kcal/100g
    *   **單項熱量:** 180g * (183 kcal/100g) = 329.4 kcal

2.  **牛肉片 (Cooked Beef Slices):**
    *   **分量推估:** 目視牛肉片量，約 90 公克 (熟重)。
    *   **熱量推估 (TFND F001552 牛肉(熟)):** 253 kcal/100g
    *   **單項熱量:** 90g * (253 kcal/100g) = 227.7 kcal

3.  **韓式辣醬 (Korean Chili Paste / Gochujang):**
    *   **分量推估:** 碗中呈塊狀，約 20 公克。
    *   **熱量推估 (TFND無直接數據，參考近似醬料如豆瓣醬並考量糖分):** 約 200 kcal/100g
    *   **單項熱量:** 20g * (200 kcal/100g) = 40 kcal

4.  **玉米粒 (Corn Kernels):**
    *   **分量推估:** 約 30 公克。
    *   **熱量推估 (TFND F000511 玉米粒(熟)):** 96 kcal/100g
    *   **單項熱量:** 30g * (96 kcal/100g) = 28.8 kcal

5.  **高麗菜 (Cabbage, Cooked):**
    *   **分量推估:** 綠色蔬菜部分，約 50 公克 (熟重)。
    *   **熱量推估 (TFND F000213 高麗菜(熟)):** 25 kcal/100g
    *   **單項熱量:** 50g * (25 kcal/100g) = 12.5 kcal

6.  **木耳或其他深色蔬菜 (Wood Ear Mushroom or Other Dark Veg):**
    *   **分量推估:** 少量，約 15 公克。
    *   **熱量推估 (TFND F000304 黑木耳(生)，熟重差異不大):** 22 kcal/100g
    *   **單項熱量:** 15g * (22 kcal/100g) = 3.3 kcal

7.  **海苔絲 (Shredded Nori/Seaweed):**
    *   **分量推估:** 點綴用，極少量，約 2 公克。
    *   **熱量推估 (TFND F000620 海苔):** 311 kcal/100g
    *   **單項熱量:** 2g * (311 kcal/100g) = 6.22 kcal

8.  **烹調用油/醬汁 (Cooking Oil/Sauce):**
    *   **分量推估:** 拌飯通常會加入麻油或其他醬汁，牛肉烹調也可能用油，估計約 10 公克。
    *   **熱量推估 (食用油):** 900 kcal/100g
    *   **單項熱量:** 10g * (900 kcal/100g) = 90 kcal

**總熱量推估:**
329.4 (白飯) + 227.7 (牛肉) + 40 (辣醬) + 28.8 (玉米粒) + 12.5 (高麗菜) + 3.3 (木耳) + 6.22 (海苔絲) + 90 (烹調用油/醬汁) = **737.92 kcal**

**總結:**
此份韓式拌飯牛預估總熱量約為 **738 大卡**。主要熱量來源為白飯與牛肉，烹調用油與韓式辣醬亦貢獻部分熱量。"
downloaded_images\一帖茶方_熟韻紅茶(L)_40元_2.jpg,"這張圖片主要呈現一杯「一帖茶方 熟韻紅茶(L)」。

**判斷食物與分量：**

1.  **熟韻紅茶 (L大杯)**：
    *   **內容物**：主要為紅茶茶湯、糖（甜度未指定，依常理推估預設為「全糖」或「正常甜度」）及冰塊。背景的茶葉與木製器具為擺設，非飲品內容物。
    *   **分量**：根據檔名「(L)」標示為大杯。手搖飲常見大杯容量約為700毫升。

**熱量推估（依衛福部食品營養成分資料庫 TFND 標準）：**

1.  **紅茶茶湯**：無額外添加物（如牛奶、果汁）的純茶飲，熱量極低，可忽略不計。
2.  **糖**：這是主要熱量來源。
    *   一般手搖飲「全糖」甜度，700毫升飲品通常含有約50-70公克的糖。此處取中值估算為 **60公克**。
    *   依據衛福部食品營養成分資料庫，1公克碳水化合物（如糖）約提供4大卡熱量。
    *   **熱量估算**：60公克糖 × 4大卡/公克 = **240大卡**。
3.  **冰塊**：熱量可忽略。

**總熱量估計：**

*   一杯「一帖茶方 熟韻紅茶(L)」在「全糖」設定下，估計總熱量約為 **240大卡**。"
downloaded_images\一帖茶方_寒天青檸茶(L)_65元_2.jpg,"此為「一帖茶方_寒天青檸茶(L)」：

**分析內容：**

1.  **茶湯 (Tea Base):**
    *   **判斷：** 圖片中為深色液體，符合茶飲外觀。檔名「茶」字證實。
    *   **分量估計：** L杯標準容量約700毫升。考慮冰塊和配料，實際茶湯及調味液約550毫升。
    *   **熱量估計：** 純茶無熱量（TFND：0大卡/100毫升）。

2.  **青檸汁 (Lime Juice):**
    *   **判斷：** 檔名「青檸」字樣及圖片中多個青檸/切片。
    *   **分量估計：** 預估約60毫升（作為主要風味來源）。
    *   **熱量估計：** TFND「檸檬汁」約29大卡/100公克。
        *   60毫升 x (29大卡 / 100毫升) ≈ **17.4大卡**。

3.  **砂糖 (Added Sugar):**
    *   **判斷：** 手搖飲通常含糖，檔名未指定甜度，以常見的「半糖」估算。
    *   **分量估計：** 假設半糖約佔液體體積的5.5%。550毫升 x 5.5% = 30.25公克。取**30公克**。
    *   **熱量估計：** TFND「砂糖」385大卡/100公克。
        *   30公克 x (385大卡 / 100公克) = **115.5大卡**。

4.  **寒天 (Agar-agar / Kanten Jelly):**
    *   **判斷：** 檔名「寒天」字樣，圖片杯底可見白色透明小方塊狀物，旁有小碗盛裝相同物質。
    *   **分量估計：** 佔杯底約1/4體積，估計約120公克。
    *   **熱量估計：** TFND「洋菜凍 (寒天凍)」約18大卡/100公克（通常已含微量糖水）。
        *   120公克 x (18大卡 / 100公克) = **21.6大卡**。

**總熱量估計：**
17.4 (青檸汁) + 115.5 (砂糖) + 21.6 (寒天) = **約154.5大卡**"
downloaded_images\一帖茶方_四季蜜青凍(L)_65元_2.jpg,"根據圖片檔名「一帖茶方_四季蜜青凍(L)_65元_2.jpg」與圖片內容，進行理性分析與熱量推估：

**飲料名稱：** 四季蜜青凍 (L)

**組成食物與分量推估：**

1.  **四季春茶 (Four Seasons Oolong Tea)：**
    *   **判斷依據：** 檔名中的「四季」與圖片右側的乾燥茶葉。
    *   **分量：** 作為L杯（大杯）飲品的基底，預估約佔總體積的600毫升（扣除冰塊、蜂蜜、果凍後的主要液體）。
    *   **熱量推估 (衛福部食品營養成分資料庫 TFND)：** 無糖純茶幾乎不含熱量。**約 0 大卡。**

2.  **蜂蜜 (Honey)：**
    *   **判斷依據：** 檔名中的「蜜」字，杯底較深色的液體層，以及圖片左下角的蜂蜜與蜂蜜匙。
    *   **分量：** 考慮L杯容量與甜度需求，預估約 **50 公克**。
    *   **熱量推估 (衛福部食品營養成分資料庫 TFND - 蜂蜜)：** 每100公克蜂蜜約含 315 大卡。
        *   **熱量：** 50g * (315/100) = **157.5 大卡。**

3.  **青凍 (Jelly)：**
    *   **判斷依據：** 檔名中的「青凍」與圖片左下角小碗中呈不規則透明狀的凍狀物。
    *   **分量：** 作為配料，考慮L杯容量，預估約 **100 公克**。
    *   **熱量推估 (衛福部食品營養成分資料庫 TFND - 參考有糖果凍/仙草凍)：** 若為市售含糖果凍或類似仙草凍，每100公克約含 50-80 大卡 (取中間值 65 大卡)。
        *   **熱量：** 100g * (65/100) = **65 大卡。**

4.  **冰塊 (Ice Cubes)：**
    *   **判斷依據：** 杯中上方的冰塊。
    *   **分量：** 佔L杯飲品體積的相當部分。
    *   **熱量推估：** **0 大卡。**

**總熱量推估：**
0 (茶) + 157.5 (蜂蜜) + 65 (青凍) = **約 222.5 大卡。**"
downloaded_images\一帖茶方_熟韻鮮奶茶(L)_65元_2.jpg,"這張圖片顯示一杯「一帖茶方_熟韻鮮奶茶(L)」。

**食物判斷與分量估計：**

1.  **主要食物：熟韻鮮奶茶 (L)**
    *   **飲品容量：** 大杯 (L) 手搖飲一般容量約為 700 毫升。考量杯中冰塊佔據部分體積，實際液體部分估計約 550-600 毫升。
    *   **內容物：**
        *   **熟韻茶 (Brewed Tea)：** 茶湯，佔飲品大部分液體。
        *   **鮮奶 (Fresh Milk)：** 根據鮮奶茶的比例，估計鮮奶用量約佔液體體積的 20% - 25%，約 120-150 毫升。
        *   **糖 (Sugar)：** 圖片未指定甜度，按一般手搖飲「正常甜」估計，糖量可能約 50 公克。
        *   **冰塊 (Ice)：** 提供冰鎮效果，不含熱量。

**熱量推估 (依據衛福部食品營養成分資料庫 TFND 標準)：**

1.  **鮮奶 (全脂鮮乳)：**
    *   標準：每 100 毫升約 60 大卡。
    *   推估：150 毫升鮮奶 ≈ (150/100) * 60 = **90 大卡**。

2.  **糖 (砂糖)：**
    *   標準：每 100 公克約 400 大卡 (即每公克 4 大卡)。
    *   推估：50 公克糖 ≈ 50 * 4 = **200 大卡**。

3.  **熟韻茶 (純茶)：**
    *   標準：純茶熱量極低，可忽略不計。

**總熱量推估：**

*   鮮奶 (90 大卡) + 糖 (200 大卡) + 茶 (0 大卡) = **290 大卡**。

**總結：**

一杯大杯「熟韻鮮奶茶」估計含有約 290 大卡熱量。此為正常甜度之推估，實際熱量會因店家配方、鮮奶種類（全脂/低脂）及糖量調整而異。"
